comment,rating_star
"Absorption:belum cuba
Skin Suitability:belum cuba lg

Penghntran very bad..sbulan bru smpai tp brg smpai dlm keadaan baik",0
Barang diterima dengan baik kualiti tidak ok sebab warna bertukar jadi hitam bila buka penutup,0
"Just received , but unfortunately the product defect . the pump is missing ? broken ? but i didn't see in the box . Got strong smell  , and bit thicker",0
"Skin Suitability:good
Absorption:good

Penghantaran yg amat lambat mau dekat satu bulan aku tunggu oh.",0
"Absorption:good
Skin Suitability:good

tak ada bubble wrap langsung! cuma harapkan plastik parcel tu sahaja. sangat merisiko kan barang2 customer.",0
"Packaging tooooooi bad and “berhabuk” and xde bubble pack pun dan packaging selapis and nasib baik product still in box and cuma box shj yg rosak

mungkin tempat simpan barang tak proper and will not repeat order dekat this shop

they need to be sensitive and proactive on customer experience and product delivery",0
Mcm produk expired .Dpt warna brown gelap nk ke warna hitam.. Bila chat seller duk asyik claim masih blh guna masih blh guna.. katanya merah atau maroon.. tp mslh dia yg smpai ni maroon pon xde rupe.. Coklat pekat!! Merepek pny seller!,0
"Skin Suitability:bad news for my skin
Absorption:quickly absorb in my skin

Pedih, gatal dan timbul banyak jerawat bernanah even 30 tahun xpenah naik jerawat kat muka ni, jadi stresss..2 mggu pakai dan sudah sedekahkan dekat orang lain. Rugi duit xpa l,syg kulit muka dah rosak",0
"Absorption:no komen

The colour is brown not red. Just open today.",0
Sangat takmemuaskan dia punya peeling ni dah oxidation sebelum sampai dekat customer !!!!!!!!,0
"Kotak sedey pemek,penutup crack,Bubblewrap takda😿",0
"Absorption:😠
Skin Suitability:😠

Dalam live bercakap laju, bila tanya banyak kali sebab tk berapa jelas host live mcm marah marah dan muka berubah bila tanya banyak kali.. kemudian saya payment la sebb host live tiada menjelaskan ibu mengandung dan menyusu baby tidak boleh ambil produk ni.. bila customer tanya baru menjelaskan ianya tidak boleh..host live tidak menjelaskan dengan lebih terperinci produk ni..bila saya pm mereka untuk cancel order, mereka memberitahu tidak boleh dan cancel my request sedangkan masa tu tengah live, boleh je mereka nak accept my cancel order .post pun lambat..dah melebihi tarikh yg diberi..pening saya.. kalau menjelaskan dengan lebih tepat, terperinci tiada la membazir duit saya beli produk sebb sy ni ibu menyusu anak..😡 host live pun tidak friendly.. menyesal beli..",0
"Absorption:fake
Skin Suitability:fake

fake punya takyah beli rugi ja dhla mahal better kalau nak beli beli dekat offical skintific punya yang fake punya kedai ni",0
Order Vanilla tp dpt Ivory. Macam tak ada QC pulak yg double check the order before courier.,0
Didn't received my item. Claim as delivered at my door but not found at door step.,0
Saya dapat warna coklat gelap bukan warna merah.Sangat sangat kecewa,0
"Absorption:give wrong order
Skin Suitability:give wrong order

give wrong order",0
Absorption:SAYA CADANGKAN LEBIH BAIK BELI DI GURDIAN ATAU WATSON!!!!!!!!,0
barang mahal tetapi tiada bubble wrap,0
Pilih set.....yg smpi peeling serum 1 je....,0
No bubble wrap for fragile item.,0
